0.0 <ST1> 気になる 点が 他に ございました ら お 気軽に リプください 。 長文 失礼 いたしました 。	1.0 詳細 の リプライありがとうございます ! 企画 とても 楽しみ なので 、 人 数が 集まる ことを祈る ばかりです 。
0.0 <ST1> ペンタブ でもいい のよ 別に <s> いち お PS D の形 式 で 保存 したんだ ど いけるかな ? <s> まじ ? P DF で いけない ? <s> あ 、 大 ジョブ いけた ただ 書き 直し だよ やったね ! <s> ホ 、 ホ ゲ 。 生き ろ 。 この 調子 だと いつ ぐらいに 提出 できる かね ? 一週間 いら なかった ? <s> 結構 投げ やりに 書いてる から 多分 すぐ 渡 せる ~ \ お手 上げ 侍 /	1.0 でも 順 平 は どんなに 奇 麗 に書いて も は たから 見たら 雑 にしか見え ないから それで 正解 だよ 。 生きよう !
0.0 <ST1> る いく 、 かわいい んだから いいじゃないですか !	1.0 何言ってる んですか かず まさん ! そんな 誤解 が生 まれる じゃないですか っ
0.0 <ST1> くぅ w も にも に	1.0 こら こ らー ? もに られ
0.0 <ST1> それ 俺と同じ 絵師 ?	1.0 そだよ この ま えた の んでた やつ
0.0 <ST1> 俺 だったら 駒 を 一個 取る たびに ゲス顔 になって まう <s> この 子に とって 初めての 挫折 なの かなあ って思う と もうね 。 ゾク ゾク が止まらない 。 <s> あれ だろ 、 王将 一枚 だけ にした 上に 残りの 駒 全部 投入 して 囲 む んだろ これ	1.0 開始 前の 余裕 顔 から だんだん 顔 真っ赤 になって 指が 震えてる 様 とか たまらない
0.0 <ST1> うっ せ 。 ヘタレ で何か 問題 でも あん のかよ 。 <s> んー 。 まぁ 、 たら たら しないで いるの も あれだ も 思 いますよ <s> まあ 、 わか っちゃ いる んだけどね 。 それでも 怖 いのよ 。 いろいろと 。 <s> 度 合いの 差 はあれ ど 誰 だって 怖い さー ヘタレ なりに やってみ ろよ	1.0 向こう イギリス 行って 帰ってきたら ね いや まあでも キス くらいは したいなぁ 。
0.0 <ST1> 午 後の 授業 はほんと にお ねむ 。	1.0 仕事中 でも ねむ くなります
0.0 <ST1> 貰える だけ ええやん ! うち 。 誰も 、 今日が 何 の日 か 言わない 。	1.0 ち いちゃん 、 今夜は サービス して やって ね
0.0 <ST1> おはあり とい れ 。 おやすみ じ いや	1.0 じぃ やは お腹が すいた ので ぼ っちゃ んな にか つくって 下さい
0.0 <ST1> 瓶 に 血 溜 める て w <s> やべえ よ w 貯めて るのを キャス で見 せて た	1.0 ひ くわ 今 見たけど 雑談 してた
0.0 <ST1> 春 一番 最近 み ないな 。 人の 方 。	1.0 まさに 、 元気 ですかー ! ってね 。
0.0 <ST1> 民 放 は 既に 瀕死 だな 。 番組 表 みて 思う 。	1.0 色々 過 渡 期 なんだろう なー と思います 。
0.0 <ST1> わたしの 回り の人 達は 優しい 。 泣ける 。 頑張ろう 。	1.0 泣く なら 俺の 胸 で 泣 け ! その他 では 我慢 だぜ 。
0.0 <ST1> とりあえず 今の トリ スタ をやる 事に 集中 する ・ 大河 見れ なくなるの やだ 大河 かっこ かわいい ・ っ	1.0 うちの アウ ロス くんも 負けない
0.0 <ST1> いえ 、 空 白 なので ほんとに スルー です	1.0 か 。 し 。 す 。 きさん
0.0 <ST1> さ さみ と思って みたら 。 <s> え 、 ささ みの 味 すんの ?	1.0 え 、 いや 、 ちが
0.0 <ST1> うず め ヘラ ウル ズ 五 右衛門 エキ ドナ と ギ ガン テ スか ほむ ほむ	1.0 回復 ちょっと 少な そうだから ホル ス にしたい ところ
0.0 <ST1> もうね 、 いか ないとね 、 すと れす で しぬ 。 <s> すと れす w 社会人 大変 ですねー ・	1.0 強制 飲み会 参加 ストレス マッハ 6000 圓 !
0.0 <ST1> 病院 バック レ て 現場 へ ゴー ! <s> 命 が 惜 しく なければ やって もい んでない ? 震	1.0 歩 け なくなりました よ
0.0 <ST1> 一個 ひどい 台詞 がある ! <s> き のせい だよ !	1.0 しかし 、 たった今 第 四 艦隊 が 遠征 から 帰り 、 旗 艦 が 十二 鈴 になった 僕には 何も 言え なかった ><
0.0 <ST1> どうして すぐ 寝て しまうん <s> 学 / 校 があるから や	1.0 お前は 学校 とでも 呟いて はいけない 呪 いに かかって いるのか
0.0 <ST1> いや これはこれで 。 <s> 噛 まれて も 痛くない よね 。 ほら よ っちゃん 、 怖くない よ	1.0 甘 噛み してくれる にゃんこ ならね 。? 3 回に 1 度は 本気 噛み してくる うちの 猫 のは 痛 いよ !
0.0 <ST1> おはよー ご じゃー にゃ す 布団 干し 洗濯 朝 ごは んな う 。 窓 ふ き 買い物 昼 ごはん 美容院 掃除	1.0 窓 ふ き 、 買い物 、 お昼ご飯 ここ までに あと 1 時間 !
0.0 <ST1> 行くのが なかなか 遅くなって しまい そうです 。 ド イ サイ エン スの 出演 は 何時頃 の予定 ですか ?	1.0 我々は 21 : 5 5 の 予定です 。 お待ちしてます !
0.0 <ST1> S up er De lu x e ディ レ クター ズ カット リ マスター HD E d it i on BOX セット ですね !1 万 8 千円 になります ! ありがとうございます !	1.0 よろ こんで 購入 させていただきます !
